model,r.squared,adj.r.squared,sigma,statistic,p.value,df,logLik,AIC,BIC,deviance,df.residual,nobs
polrights_fh ~ edu_exp_gdp_per_person + labour_force_participation_rate_percent + life_expectancy_years + military_spending_pct_of_gdp,0.2517526457266034,0.24709791879488718,0.6819817927934746,54.08537373292835,2.6243178284491487e-39,4,-668.9389723068159,1349.8779446136318,1376.7212887917456,299.0587635462585,643,648
polrights_fh ~ edu_exp_gdp_per_person + labour_force_participation_rate_percent + life_expectancy_years + murder_per_mil_people,0.379524245708148,0.3756643654326155,0.6210300186579959,98.325393177069,2.8248378953873895e-65,4,-608.2709179239282,1228.5418358478564,1255.3851800259702,247.99113665980755,643,648
polrights_fh ~ edu_exp_gdp_per_person + labour_force_participation_rate_percent + military_spending_pct_of_gdp + murder_per_mil_people,0.45818101654346416,0.45481044743953547,0.5803330359588957,135.93580265404307,4.029834201675238e-84,4,-564.3512396356268,1140.7024792712537,1167.5458234493674,216.553676178048,643,648
polrights_fh ~ edu_exp_gdp_per_person + life_expectancy_years + military_spending_pct_of_gdp + murder_per_mil_people,0.4069405172622292,0.40325118922031455,0.6071546318714125,110.30206927629175,1.4828854184026818e-71,4,-593.6287658830402,1199.2575317660803,1226.100875944194,237.03342832287146,643,648
polrights_fh ~ electricity_use_per_person + gini + internet_users + labour_force_participation_rate_percent,0.38086501361613256,0.3770134740429826,0.6203586729882363,98.88643395260178,1.4140773500097629e-65,4,-607.5700382730301,1227.1400765460603,1253.983420724174,247.45525986655957,643,648
polrights_fh ~ electricity_use_per_person + gini + internet_users + life_expectancy_years,0.37444796534432806,0.3705565063418045,0.6235652513394933,96.22302717348371,3.8270257181067194e-64,4,-610.9108653661872,1233.8217307323744,1260.665074910488,250.02001938200888,643,648
polrights_fh ~ electricity_use_per_person + gini + internet_users + military_spending_pct_of_gdp,0.38592086509324913,0.38210077716225843,0.6178205587652456,101.0240790434285,1.0263398994022087e-66,4,-604.9133949083301,1221.8267898166603,1248.670133994774,245.43454214161915,643,648
polrights_fh ~ electricity_use_per_person + gini + internet_users + murder_per_mil_people,0.40929343839631704,0.40561874749987115,0.605949013566151,111.38173248590127,4.154663041970659e-72,4,-592.3407623032017,1196.6815246064034,1223.5248687845171,236.09301512787195,643,648
polrights_fh ~ electricity_use_per_person + gini + labour_force_participation_rate_percent + life_expectancy_years,0.3671785328124867,0.3632418518346484,0.6271779582268596,93.27109178506689,1.5403825633106073e-62,4,-614.6543045560381,1241.3086091120763,1268.15195329019,252.9254589966488,643,648
polrights_fh ~ electricity_use_per_person + gini + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.375193014809336,0.3713061906401872,0.6231937991280668,96.5294539916132,2.6140895504042125e-64,4,-610.5247425784105,1233.049485156821,1259.8928293349347,249.7222387476859,643,648
polrights_fh ~ electricity_use_per_person + gini + labour_force_participation_rate_percent + murder_per_mil_people,0.4221875404713358,0.4185930617184359,0.5992991151871854,117.45445431572679,3.5511041128583186e-75,4,-585.190072293105,1182.38014458621,1209.2234887643237,230.93951314544412,643,648
polrights_fh ~ electricity_use_per_person + gini + life_expectancy_years + military_spending_pct_of_gdp,0.36731260127001286,0.3633767543105728,0.6271115182909537,93.3249196564977,1.4394673569971808e-62,4,-614.5856552062455,1241.171310412491,1268.0146545906048,252.871874647958,643,648
polrights_fh ~ electricity_use_per_person + gini + life_expectancy_years + murder_per_mil_people,0.3841750778141942,0.38034412962019226,0.6186981474285629,100.2819819948741,2.5451976252893763e-66,4,-605.8331991077554,1223.6663982155108,1250.5097423936245,246.13229667707745,643,648
polrights_fh ~ electricity_use_per_person + gini + military_spending_pct_of_gdp + murder_per_mil_people,0.4215617544776,0.4179633828102757,0.5996235556682411,117.15347758700366,5.02181072086843e-75,4,-585.5407828801453,1183.0815657602907,1209.9249099384044,231.18962667336018,643,648
polrights_fh ~ electricity_use_per_person + internet_users + labour_force_participation_rate_percent + life_expectancy_years,0.23492356582594637,0.23016414788396156,0.689608487185443,49.3597260609515,3.125512241056489e-36,4,-676.1454230579016,1364.290846115803,1391.1341902939168,305.7849935796396,643,648
polrights_fh ~ electricity_use_per_person + internet_users + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.28516109858351796,0.28071420028543725,0.666583063049647,64.12584220929695,1.244262948156172e-45,4,-654.1398166858271,1320.2796333716542,1347.122977549768,285.7061061044097,643,648
polrights_fh ~ electricity_use_per_person + internet_users + labour_force_participation_rate_percent + murder_per_mil_people,0.3934231554189123,0.38964973803427105,0.6140349610285734,104.2617646858358,2.01027052785532e-68,4,-600.9306631412858,1213.8613262825716,1240.7046704606853,242.43603415392755,643,648
polrights_fh ~ electricity_use_per_person + internet_users + life_expectancy_years + military_spending_pct_of_gdp,0.2834358710287956,0.27897824036645535,0.6673869605644818,63.584422420494676,2.6845948144244095e-45,4,-654.9208322160908,1321.8416644321817,1348.6850086102954,286.3956433495527,643,648
polrights_fh ~ electricity_use_per_person + internet_users + life_expectancy_years + murder_per_mil_people,0.3934660180871155,0.3896928673442671,0.6140132658039694,104.28049259173787,1.965326454586116e-68,4,-600.9077674516251,1213.8155349032502,1240.658879081364,242.41890284503359,643,648
polrights_fh ~ electricity_use_per_person + internet_users + military_spending_pct_of_gdp + murder_per_mil_people,0.4358957462830023,0.4323865440825856,0.5921474625428751,124.21505555628337,1.6281354507063808e-78,4,-577.4107447783718,1166.8214895567437,1193.6648337348574,225.46063098560592,643,648
polrights_fh ~ electricity_use_per_person + labour_force_participation_rate_percent + life_expectancy_years + military_spending_pct_of_gdp,0.22513628914645617,0.22031598612403913,0.6940053946487998,46.70583739226522,1.7845410842109132e-34,4,-680.2639212383053,1372.5278424766107,1399.3711866547244,309.69676265645217,643,648
polrights_fh ~ electricity_use_per_person + labour_force_participation_rate_percent + life_expectancy_years + murder_per_mil_people,0.37980751781366257,0.37594939972852215,0.6208882398994932,98.44372552423573,2.4409317899567785e-65,4,-608.1229651335155,1228.245930267031,1255.0892744451448,247.87791874445043,643,648
polrights_fh ~ electricity_use_per_person + labour_force_participation_rate_percent + military_spending_pct_of_gdp + murder_per_mil_people,0.4554545708145446,0.4520670409284764,0.5817913283891376,134.45034763757698,2.011641052425292e-83,4,-565.97752683825,1143.9550536765,1170.7983978546138,217.6433793141967,643,648
polrights_fh ~ electricity_use_per_person + life_expectancy_years + military_spending_pct_of_gdp + murder_per_mil_people,0.41345118468226716,0.4098023584594508,0.603812731928589,113.3107359558333,4.331599401924102e-73,4,-590.0521927642907,1192.1043855285814,1218.947729706695,234.4312511987195,643,648
polrights_fh ~ gini + internet_users + labour_force_participation_rate_percent + life_expectancy_years,0.38094329009136585,0.3770922374636294,0.62031945615645,98.91926361839273,1.3580253372652961e-65,4,-607.529072761655,1227.05814552331,1253.9014897014238,247.4239744022484,643,648
polrights_fh ~ gini + internet_users + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.39228112667094023,0.38850060490839566,0.6146127244462991,103.7637530770073,3.6697301318299815e-68,4,-601.5400985827202,1215.0801971654405,1241.9235413435542,242.8924790759874,643,648
polrights_fh ~ gini + internet_users + labour_force_participation_rate_percent + murder_per_mil_people,0.4291450843510518,0.4255938873641222,0.595680053464318,120.8451927422037,7.344268884104121e-77,4,-581.2650512918849,1174.5301025837698,1201.3734467618835,228.15872887924752,643,648
polrights_fh ~ gini + internet_users + life_expectancy_years + military_spending_pct_of_gdp,0.3854359787336362,0.38161287440227476,0.6180644309562431,100.81754127708345,1.3211637711151037e-66,4,-605.1691293547095,1222.338258709419,1249.1816028875328,245.62834104292912,643,648
polrights_fh ~ gini + internet_users + life_expectancy_years + murder_per_mil_people,0.4088605467783409,0.4051831629324829,0.6061710038282192,111.1824503277972,5.252488168363928e-72,4,-592.5781145280047,1197.1562290560094,1223.999573234123,236.2660328221974,643,648
polrights_fh ~ gini + internet_users + military_spending_pct_of_gdp + murder_per_mil_people,0.43832712360351084,0.4348330466119309,0.5908699605358327,125.44861623249427,4.083006339794354e-79,4,-576.0112360201874,1164.0224720403749,1190.8658162184886,224.4888604995054,643,648
polrights_fh ~ gini + labour_force_participation_rate_percent + life_expectancy_years + military_spending_pct_of_gdp,0.3824484449069814,0.37860675560624724,0.6195648847086956,99.55215400524261,6.233210540175098e-66,4,-606.740350229407,1225.480700458814,1252.3240446369277,246.82239561211583,643,648
polrights_fh ~ gini + labour_force_participation_rate_percent + life_expectancy_years + murder_per_mil_people,0.423124443810302,0.4195357933829944,0.5988130464594529,117.90628604852773,2.1122096477299706e-75,4,-584.6642908797553,1181.3285817595106,1208.1719259376243,230.5650525442627,643,648
polrights_fh ~ gini + labour_force_participation_rate_percent + military_spending_pct_of_gdp + murder_per_mil_people,0.4624853078537811,0.45914151505660405,0.5780233132548244,138.31159282483674,3.1310076041986e-85,4,-561.7670568030549,1135.5341136061097,1162.3774577842235,214.8333412782925,643,648
polrights_fh ~ gini + life_expectancy_years + military_spending_pct_of_gdp + murder_per_mil_people,0.41383799657454784,0.41019157664655126,0.6036136006211423,113.49159031223205,3.507049751971293e-73,4,-589.8384536981187,1191.6769073962373,1218.520251574351,234.2766506036492,643,648
polrights_fh ~ internet_users + labour_force_participation_rate_percent + life_expectancy_years + military_spending_pct_of_gdp,0.27337864995851957,0.26885845493493343,0.6720541426545897,60.479392710279306,2.287866043308127e-43,4,-659.4366653152989,1330.8733306305978,1357.7166748087116,290.4153035338628,643,648
polrights_fh ~ internet_users + labour_force_participation_rate_percent + life_expectancy_years + murder_per_mil_people,0.40950166548932265,0.4058282699402671,0.6058422040848445,111.47769414448423,3.711313038059475e-72,4,-592.2265305064075,1196.453061012815,1223.2964051909287,236.00979112899586,643,648
polrights_fh ~ internet_users + labour_force_participation_rate_percent + military_spending_pct_of_gdp + murder_per_mil_people,0.45997632890326073,0.4566169281499374,0.5793707740216176,136.92213661862502,1.3917381188029045e-84,4,-563.2758859580928,1138.5517719161855,1165.3951160942993,215.83612750723256,643,648
polrights_fh ~ internet_users + life_expectancy_years + military_spending_pct_of_gdp + murder_per_mil_people,0.43559881013307533,0.4320877607404351,0.5923032908796309,124.06513307564406,1.9269668396681957e-78,4,-577.581248722936,1167.162497445872,1194.0058416239858,225.5793101327385,643,648
polrights_fh ~ labour_force_participation_rate_percent + life_expectancy_years + military_spending_pct_of_gdp + murder_per_mil_people,0.45829106824828725,0.45492118375838553,0.5802740957174828,135.9960763111033,3.7759635273161073e-84,4,-564.2854236063677,1140.5708472127353,1167.414191390849,216.50969082135737,643,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + gini + internet_users,0.5064739657409788,0.502630305038027,0.5542978465676563,131.76864579956649,5.62328435015005e-96,5,-534.1037806196861,1082.2075612393721,1113.524796113838,197.25199793952535,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + gini + labour_force_participation_rate_percent,0.5085298949558039,0.5047022461626248,0.5531420955349452,132.85698935127184,1.481331785146857e-96,5,-532.7512432718399,1079.5024865436799,1110.8197214181457,196.43028618149143,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + gini + life_expectancy_years,0.5066705615943461,0.5028284320117475,0.5541874334333294,131.87232515246635,4.951045675289286e-96,5,-533.9746896654418,1081.9493793308836,1113.2666142053495,197.17342270302026,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + gini + military_spending_pct_of_gdp,0.5253715853891654,0.5216751024093302,0.5435819471860944,142.12741902374282,2.1415486917204656e-101,5,-521.4537193611432,1056.9074387222863,1088.2246735967522,189.69901598285384,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + gini + murder_per_mil_people,0.5142415742263774,0.510458408916614,0.5499184984243897,135.9289198648673,3.533810047407248e-98,5,-528.9637870145373,1071.9275740290745,1103.2448089035404,194.14744785179334,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + internet_users + labour_force_participation_rate_percent,0.47920687162899855,0.47515085038000326,0.5694043496236298,118.14703183512566,1.6262149880187e-88,5,-551.5276208394373,1117.0552416788746,1148.3724765533404,208.1500831837383,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + internet_users + life_expectancy_years,0.45799665678023477,0.4537754469420746,0.5808836336168748,108.49890773964813,5.584305732261822e-83,5,-564.461465384612,1142.922930769224,1174.2401656436898,216.62736090613183,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + internet_users + military_spending_pct_of_gdp,0.5016595339952324,0.49777837771793676,0.5569949205636936,129.2551750440664,1.2507486878737016e-94,5,-537.2491396691963,1088.4982793383926,1119.8155142128585,199.17622526467093,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + internet_users + murder_per_mil_people,0.49599952016603105,0.49207428278414655,0.560149087299789,126.36166221567555,4.615978518047209e-93,5,-540.9083017141047,1095.8166034282094,1127.1338383026753,201.438414001789,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + labour_force_participation_rate_percent + life_expectancy_years,0.47572081313845466,0.47163764190121527,0.5713068960441747,116.50768128453022,1.3693324418730453e-87,5,-553.6891691337319,1121.3783382674637,1152.6955731419296,209.5433875982181,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.5159853386424625,0.5122157540524506,0.5489305686313118,136.88122028343275,1.1196679943045673e-98,5,-527.7986066497459,1069.5972132994918,1100.9144481739577,193.4505018122088,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + labour_force_participation_rate_percent + murder_per_mil_people,0.49616735882849083,0.49224342860129844,0.5600558110970066,126.4465293980258,4.1500204008064915e-93,5,-540.8003875644181,1095.6007751288362,1126.918010003302,201.37133241094367,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + life_expectancy_years + military_spending_pct_of_gdp,0.5016413006968854,0.4977600024157085,0.557005110145278,129.24574829244392,1.2654561925771085e-94,5,-537.2609939756325,1088.521987951265,1119.8392228257308,199.183512731346,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + life_expectancy_years + murder_per_mil_people,0.501572702949315,0.4976908704177676,0.557043443961095,129.21028892232408,1.3223501525913163e-94,5,-537.3055886435536,1088.6111772871072,1119.928412161573,199.2109298113441,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + electricity_use_per_person + military_spending_pct_of_gdp + murder_per_mil_people,0.5441856410845649,0.5406356850182453,0.5326993400516213,153.2936269965585,5.186992319804084e-107,5,-508.34902294459624,1030.6980458891926,1062.0152807636584,182.17943278429993,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + internet_users + labour_force_participation_rate_percent,0.5088688568994503,0.505043847996798,0.5529513143895189,133.03730000382515,1.188233937310635e-96,5,-532.5277066657036,1079.0554133314072,1110.372648205873,196.29481020663206,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + internet_users + life_expectancy_years,0.5054917818416771,0.5016404717314098,0.5548491364521652,131.25190321446013,1.0614498250356236e-95,5,-534.7479438911893,1083.4958877823785,1114.8131226568444,197.64455623034004,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + internet_users + military_spending_pct_of_gdp,0.521870727651432,0.5181469794244182,0.545582993429384,140.14661997434297,2.2433726887631498e-100,5,-523.8347718101195,1061.669543620239,1092.9867784947048,191.09823534583379,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + internet_users + murder_per_mil_people,0.5131706521188087,0.5093791462941889,0.5505243506488989,135.3474518716474,7.1433275092902585e-98,5,-529.6773039072657,1073.3546078145314,1104.6718426889972,194.57547294204554,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + labour_force_participation_rate_percent + life_expectancy_years,0.5087667795970507,0.5049409756998315,0.5530087744455474,132.98297384422804,1.2698250448431789e-96,5,-532.5950402281275,1079.190080456255,1110.5073153307208,196.33560836203802,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.5280475273305694,0.5243718850200598,0.5420474312088307,143.66129310807773,3.5140879991659994e-102,5,-519.6218473884784,1053.2436947769568,1084.5609296514226,188.62949815061907,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + labour_force_participation_rate_percent + murder_per_mil_people,0.5136640624162888,0.5098763993509952,0.5502452967604163,135.6150358575938,5.1660444265781455e-98,5,-529.3487575596517,1072.6975151193035,1104.0147499937693,194.37826720166748,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + life_expectancy_years + military_spending_pct_of_gdp,0.5222141340809838,0.5184930603588731,0.545387031404061,140.33963664250288,1.7830525880678741e-100,5,-523.6019819242667,1061.2039638485335,1092.5211987229993,190.96098300323737,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + life_expectancy_years + murder_per_mil_people,0.5167012317967848,0.5129372226986291,0.5485244641419547,137.27417185307408,6.9765220742411e-99,5,-527.3190321555638,1068.6380643111277,1099.9552991855935,193.1643743433443,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + gini + military_spending_pct_of_gdp + murder_per_mil_people,0.5434400827463598,0.5398843201509265,0.5331348201493696,152.83362377575477,8.74714985593345e-107,5,-508.87854457109506,1031.7570891421901,1063.074324016656,182.47741680455988,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + internet_users + labour_force_participation_rate_percent + life_expectancy_years,0.48041764077403476,0.47637104919127815,0.5687420728524577,118.72155391742065,7.73266298281508e-89,5,-550.7734904609879,1115.5469809219758,1146.8642157964416,207.6661641676716,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + internet_users + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.5167221806321062,0.5129583346868734,0.5485125759746884,137.28568813677725,6.880537394808903e-99,5,-527.3049879034427,1068.6099758068854,1099.9272106813512,193.15600153353327,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + internet_users + labour_force_participation_rate_percent + murder_per_mil_people,0.4978417755453899,0.49393088594683376,0.5591244033565183,127.2962999848388,1.432699484141192e-93,5,-539.7218260470124,1093.4436520940249,1124.7608869684907,200.70210319127838,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + internet_users + life_expectancy_years + military_spending_pct_of_gdp,0.5000306580756977,0.4961368158488729,0.5579044748784919,128.41574695322086,3.548070373133749e-94,5,-538.3064392410803,1090.6128784821606,1121.9301133566264,199.82725278342426,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + internet_users + life_expectancy_years + murder_per_mil_people,0.5069798454728517,0.503140124643201,0.5540136873540072,132.03560049415708,4.051958574399198e-96,5,-533.7715000851185,1081.543000170237,1112.860235044703,197.04980842792472,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + internet_users + military_spending_pct_of_gdp + murder_per_mil_people,0.5428498487250552,0.5392894892914497,0.5334793233142336,152.47051845417872,1.3221222435264904e-106,5,-509.2971365426392,1032.5942730852785,1063.9115079597443,182.7133209552477,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + labour_force_participation_rate_percent + life_expectancy_years + military_spending_pct_of_gdp,0.5159196261373223,0.5121495297676754,0.5489678302903644,136.8452091280695,1.169317317703741e-98,5,-527.842591694444,1069.685183388888,1101.0024182633538,193.47676572136203,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + labour_force_participation_rate_percent + life_expectancy_years + murder_per_mil_people,0.5014949639506535,0.49761252597519134,0.5570868829053669,129.17011607660032,1.3899135023554357e-94,5,-537.3561185236289,1088.7122370472578,1120.0294719217236,199.2420004575499,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + labour_force_participation_rate_percent + military_spending_pct_of_gdp + murder_per_mil_people,0.5430192744064744,0.5394602344875217,0.5333804570296623,152.57465124647072,1.1743500749359124e-106,5,-509.17703575007783,1032.3540715001557,1063.6713063746215,182.64560506623206,642,648
polrights_fh ~ corruption_perception_index_cpi + edu_exp_gdp_per_person + life_expectancy_years + military_spending_pct_of_gdp + murder_per_mil_people,0.5471084891679006,0.5435812967159372,0.5309886619418275,155.11160692787143,6.6308393855668874e-108,5,-506.2647268562899,1026.5294537125797,1057.8466885870457,181.01123174911586,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + internet_users + labour_force_participation_rate_percent,0.5056660616944656,0.5018161089039241,0.5547513549151792,131.34344476554924,9.48379493998736e-96,5,-534.6337362342462,1083.2674724684923,1114.5847073429582,197.57490023090583,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + internet_users + life_expectancy_years,0.5045903270367954,0.5007319962504777,0.5553546322807477,130.7794367518065,1.8995238168132042e-95,5,-535.338036140527,1084.676072281054,1115.99330715552,198.00484879642946,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + internet_users + military_spending_pct_of_gdp,0.5185577079908824,0.5148081574300638,0.5474699379670438,138.2986306171215,2.0390403905819202e-99,5,-526.0720674431625,1066.144134886325,1097.4613697607908,192.4223797716441,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + internet_users + murder_per_mil_people,0.5122516580906875,0.5084529949917054,0.5510437216111216,134.8505104935314,1.3051341842084725e-97,5,-530.2883463238601,1074.5766926477202,1105.893927522186,194.9427755675566,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + labour_force_participation_rate_percent + life_expectancy_years,0.5043994103137693,0.5005395926370853,0.5554616308713808,130.6795948836365,2.14839159268948e-95,5,-535.4628724239786,1084.9257448479573,1116.2429797224231,198.0811542037288,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.5200716491636522,0.5163338894219361,0.546608474496057,139.13993544295428,7.451427723820559e-100,5,-525.0516132632724,1064.1032265265449,1095.4204614010107,191.817289258962,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + labour_force_participation_rate_percent + murder_per_mil_people,0.5113814260740217,0.5075759854671216,0.5515350837990255,134.38166007551638,2.3070810973064728e-97,5,-530.8659063445641,1075.7318126891282,1107.049047563594,195.29058904048918,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + life_expectancy_years + military_spending_pct_of_gdp,0.5182136757828512,0.5144614458434653,0.547665510374287,138.10818743897775,2.5620049708782307e-99,5,-526.3035108165514,1066.6070216331027,1097.9242565075685,192.55988222476515,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + life_expectancy_years + murder_per_mil_people,0.5140006299062048,0.5102155880830443,0.5500548659120901,135.79787329193343,4.1406790155558845e-98,5,-529.1244566004518,1072.2489132009036,1103.5661480753695,194.24374823971024,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + gini + military_spending_pct_of_gdp + murder_per_mil_people,0.5383812357163779,0.5347860740007733,0.5360803454177027,149.75160460225587,2.9648995767305978e-105,5,-512.4488366205619,1038.8976732411238,1070.2149081155897,184.4993317891109,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + internet_users + labour_force_participation_rate_percent + life_expectancy_years,0.4672916618847509,0.46314284305207765,0.575881205361663,112.63245775030694,2.2308323209492708e-85,5,-558.8568798931148,1131.7137597862295,1163.0309946606953,212.9123424462108,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + internet_users + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.4961554358114835,0.4922314127259032,0.5600624378167842,126.44049868990625,4.181515281759216e-93,5,-540.8080548163714,1095.6161096327428,1126.9333445072086,201.37609779060534,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + internet_users + labour_force_participation_rate_percent + murder_per_mil_people,0.49024966188761326,0.48627964367801535,0.5633352389131183,123.48801340567454,1.73039564696623e-91,5,-544.5837099637981,1103.1674199275963,1134.484654802062,203.73651167963467,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + internet_users + life_expectancy_years + military_spending_pct_of_gdp,0.4782316476435364,0.4741680311921621,0.5699372263393476,117.6862170350248,2.9557535642660137e-88,5,-552.1337676601073,1118.2675353202146,1149.5847701946805,208.5398597430636,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + internet_users + life_expectancy_years + murder_per_mil_people,0.502490701082106,0.4986160180687268,0.5565302291771747,129.6856283074025,7.337234847131601e-95,5,-536.7082986544881,1087.4165973089762,1118.733832183442,198.84402522429508,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + internet_users + military_spending_pct_of_gdp + murder_per_mil_people,0.5349890037122051,0.5313674227442318,0.5380464486286567,147.72250253224843,3.080505533006666e-104,5,-514.8210636437047,1043.6421272874095,1074.9593621618753,185.85513572618606,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + labour_force_participation_rate_percent + life_expectancy_years + military_spending_pct_of_gdp,0.4907798771899365,0.4868139883830046,0.5630421869500275,123.75028677861684,1.240978612143084e-91,5,-544.2465269343674,1102.4930538687347,1133.8102887432005,203.52459575127156,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + labour_force_participation_rate_percent + life_expectancy_years + murder_per_mil_people,0.4929912759650634,0.489042609890025,0.5618182903669576,124.85008015276736,3.089899992854126e-92,5,-542.83642263293,1099.67284526586,1130.9900801403257,202.6407460729264,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + labour_force_participation_rate_percent + military_spending_pct_of_gdp + murder_per_mil_people,0.5347395514694545,0.5311160277270048,0.5381907451068677,147.57445775915815,3.6566611270448336e-104,5,-514.9948248164001,1043.9896496328001,1075.306884507266,185.95483655219604,642,648
polrights_fh ~ corruption_perception_index_cpi + electricity_use_per_person + life_expectancy_years + military_spending_pct_of_gdp + murder_per_mil_people,0.5382460925835416,0.5346498783513263,0.5361588108975416,149.6701969982364,3.2557761734816254e-105,5,-512.5436767142611,1039.0873534285222,1070.404588302988,184.55334566296818,642,648
polrights_fh ~ corruption_perception_index_cpi + gini + internet_users + labour_force_participation_rate_percent + life_expectancy_years,0.5069185205426059,0.5030783221044642,0.5540481421262765,132.00320991430524,4.21624754187797e-96,5,-533.8117987252192,1081.6235974504384,1112.9408323249042,197.0743187154775,642,648
polrights_fh ~ corruption_perception_index_cpi + gini + internet_users + labour_force_participation_rate_percent + military_spending_pct_of_gdp,0.5201946485431075,0.5164578467404837,0.5465384256947031,139.20852001780125,6.865299023907448e-100,5,-524.9685656448206,1063.9371312896412,1095.254366164107,191.76812898846222,642,648
polrights_fh ~ corruption_perception_index_cpi + gini + internet_users + labour_force_participation_rate_percent + murder_per_mil_people,0.5114308427681888,0.5076257870265082,0.5515071931997308,134.40823932378956,2.233703682385168e-97,5,-530.833136778567,1075.666273557134,1106.9835084315998,195.27083822497104,642,648
